Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Salary,Salary,Salary,Salary,Salary,Salary,Unnamed: 9_level_0
Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
1,Stephen Curry,GSW,"$55,761,216","$59,606,817","$62,587,158",,,,"$177,955,191"
2,Joel Embiid,PHI,"$51,415,938","$55,224,526","$57,985,752","$62,624,612","$67,263,472",,"$227,250,828"
3,Nikola JokiÄ,DEN,"$51,415,938","$55,224,526","$59,033,114","$62,841,702",,,"$165,673,578"
4,Kevin Durant,PHO,"$51,179,021","$54,708,609",,,,,"$105,887,630"
5,Bradley Beal,PHO,"$50,203,930","$53,666,270","$57,128,610",,,,"$103,870,200"
6,Jaylen Brown,BOS,"$49,205,800","$53,142,264","$57,078,728","$61,015,192","$64,951,656",,"$285,393,640"
7,Devin Booker,PHO,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,"$220,441,984"
8,Karl-Anthony Towns,NYK,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,"$159,426,792"
9,Paul George,PHI,"$49,205,800","$51,666,090","$54,126,380","$56,586,670",,,"$154,998,270"
10,Kawhi Leonard,LAC,"$49,205,800","$50,000,000","$50,300,000",,,,"$149,505,800"
11,Jimmy Butler,GSW,"$48,798,677","$54,126,450","$56,832,773",,,,"$159,757,900"
12,Giannis Antetokounmpo,MIL,"$48,787,676","$54,126,450","$58,456,566","$62,786,682",,,"$161,370,692"
13,Damian Lillard,MIL,"$48,787,676","$54,126,450","$58,456,566",,,,"$102,914,126"
14,LeBron James,LAL,"$48,728,845","$52,627,153",,,,,"$48,728,845"
15,Zach LaVine,SAC,"$44,531,940","$47,499,660","$48,967,380",,,,"$92,031,600"
16,Rudy Gobert,MIN,"$43,827,586","$35,000,000","$36,500,000","$38,000,000",,,"$115,327,586"
17,Anthony Davis,DAL,"$43,219,440","$54,126,450","$58,456,566","$62,786,682",,,"$155,802,456"
18,Luka DonÄiÄ,LAL,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
19,Trae Young,ATL,"$43,031,940","$45,999,660","$48,967,380",,,,"$89,031,600"
20,Fred VanVleet,HOU,"$42,846,615","$44,886,930",,,,,"$42,846,615"
,,,Salary,Salary,Salary,Salary,Salary,Salary,
Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
21,Anthony Edwards,MIN,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,"$244,623,120"
22,Tyrese Haliburton,IND,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,"$244,623,120"
23,Lauri Markkanen,UTA,"$42,176,400","$46,394,100","$46,113,154","$49,824,681","$53,536,209",,"$238,044,544"
24,Pascal Siakam,IND,"$42,176,400","$45,550,512","$48,924,624","$52,298,736",,,"$188,950,272"
25,Kyrie Irving,DAL,"$41,000,000","$43,962,963",,,,,"$41,000,000"
26,Domantas Sabonis,SAC,"$40,500,000","$43,636,000","$46,772,000","$49,908,000",,,"$180,816,000"
27,Ben Simmons,BRK,"$40,011,909",,,,,,"$39,256,083"
28,Zion Williamson,NOP,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
29,Ja Morant,MEM,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
30,Darius Garland,CLE,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,"$163,225,200"
31,OG Anunoby,NYK,"$36,637,932","$39,568,966","$42,500,000","$45,431,034","$48,362,068",,"$164,137,932"
32,Jamal Murray,DEN,"$36,016,200","$46,394,100","$50,105,628","$53,817,156","$57,528,684",,"$243,861,768"
33,Brandon Ingram,TOR,"$36,016,200","$38,095,238","$40,000,000","$41,904,762",,,"$114,111,438"
34,Shai Gilgeous-Alexander,OKC,"$35,859,950","$38,333,050","$40,806,150",,,,"$114,999,150"
35,Michael Porter Jr.,DEN,"$35,859,950","$38,333,050","$40,806,150",,,,"$86,193,000"
36,Donovan Mitchell,CLE,"$35,410,310","$46,394,100","$50,105,628","$53,817,156",,,"$131,910,038"
37,Tyrese Maxey,PHI,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600"
38,LaMelo Ball,CHO,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,"$203,852,600"
39,Jayson Tatum,BOS,"$34,848,340","$54,126,450","$58,456,566","$62,786,682","$67,116,798","$71,446,914","$277,334,836"
40,Bam Adebayo,MIA,"$34,848,340","$37,096,620","$48,713,700","$52,610,796","$56,507,892",,"$173,269,456"
,,,Salary,Salary,Salary,Salary,Salary,Salary,
Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
41,De'Aaron Fox,SAS,"$34,848,340","$37,096,620",,,,,"$71,944,960"
